nregistro,nombre,principios_activos,pdf_url
64921,ACETILCISTEINA TARBIS 600 mg POLVO EFERVESCENTE EFG,acetilcisteína,https://cima.aemps.es/cima/pdfs/ft/64921/FT_64921.pdf
65048,ACETILCISTEINA VIATRIS 200 mg GRANULADO PARA SOLUCION ORAL EFG,acetilcisteína,https://cima.aemps.es/cima/pdfs/ft/65048/FT_65048.pdf
65049,ACETILCISTEINA VIATRIS 600 MG GRANULADO EFERVESCENTEL EFG,acetilcisteína,https://cima.aemps.es/cima/pdfs/ft/65049/FT_65049.pdf
58154,ACETILCOLINA 10 MG/ML CUSÍ POLVO Y DISOLVENTE PARA SOLUCIÓN PARA INSTILACIÓN POR VÍA INTRAOCULAR,acetilcolina cloruro,https://cima.aemps.es/cima/pdfs/ft/58154/FT_58154.pdf
84468,ACICLOVIR CINFA 200 MG COMPRIMIDOS EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/84468/FT_84468.pdf
62478,ACICLOVIR CINFA 800 mg COMPRIMIDOS DISPERSABLES EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/62478/FT_62478.pdf
85061,ACICLOVIR CINFA 800 MG COMPRIMIDOS EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/85061/FT_85061.pdf
62298,ACICLOVIR NORMON 200 mg COMPRIMIDOS EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/62298/FT_62298.pdf
62127,ACICLOVIR NORMON 50 mg/g CREMA EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/62127/FT_62127.pdf
62297,ACICLOVIR NORMON 800 mg COMPRIMIDOS EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/62297/FT_62297.pdf
68296,ACICLOVIR SANDOZ CARE 50 MG/G CREMA,aciclovir,https://cima.aemps.es/cima/pdfs/ft/68296/FT_68296.pdf
62685,ACICLOVIR SANDOZ 200 MG COMPRIMIDOS EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/62685/FT_62685.pdf
62686,ACICLOVIR SANDOZ 800 MG COMPRIMIDOS EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/62686/FT_62686.pdf
61721,ACICLOVIR STADA 200 MG COMPRIMIDOS EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/61721/FT_61721.pdf
62751,ACICLOVIR STADA 50 MG/G CREMA,aciclovir,https://cima.aemps.es/cima/pdfs/ft/62751/FT_62751.pdf
61722,ACICLOVIR STADA 800 MG COMPRIMIDOS EFG,aciclovir,https://cima.aemps.es/cima/pdfs/ft/61722/FT_61722.pdf
74266,ACIDO ACETILSALICILICO CINFA 100 mg COMPRIMIDOS GASTRORRESISTENTES EFG,ácido acetilsalicílico,https://cima.aemps.es/cima/pdfs/ft/74266/FT_74266.pdf
